Symbol,Company,Price,Change,,,,,
AAL.L,ANGLO AMERICAN,1673.99,-16.01,,,,,
ABF.L,ASSOCIAT BRIT FOODS,2733.75,-9.25,,,,,
ADM.L,ADMIRAL GROUP,1854,28.5,,,,,
ADN.L,ABERDEEN ASSET MGMT,316.33,#N/A,,,,,
AGK.L,AGGREKO,780.8,23.8,,,,,
AMEC.L,AMEC,#N/A,#N/A,,,,,
ANTO.L,ANTOFAGASTA,911.69,-10.11,,,,,
ARM.L,ARM HOLDINGS,0,#N/A,,,,,
ASHM.L,ASHMORE GRP,424.2,-7.8,,,,,
AV.L,AVIVA,514.13,-0.07,,,,,
AZN.L,ASTRAZENECA,5024.03,138.03,,,,,
BA.L,BAE SYSTEMS,591.8,-1.2,,,,,
BARC.L,BARCLAYS,195.56,-1.78,,,,,
BATS.L,BRIT AMER TOBACCO,4760,-64,,,,,
BG.L,BG GROUP,0,#N/A,,,,,
BLND.L,BRIT LAND CO REIT,658.2,-2,,,,,
BLT.L,BHP BILLITON,1540,-21,,,,,
BNZL.L,BUNZL,2063.62,-2.38,,,,,
BP.L,BP,496.24,-5.26,,,,,
BRBY.L,BURBERRY GROUP,1562.5,-4.5,,,,,
BSY.L,B SKY B GROUP,#N/A,#N/A,,,,,
BT-A.L,BT GROUP,247.66,-8.34,,,,,
CCL.L,CARNIVAL,4939,-43,,,,,
CNA.L,CENTRICA,128.6,-2.25,,,,,
CPG.L,COMPASS GROUP,1466.71,-13.29,,,,,
CPI.L,CAPITA,162.3,3.7,,,,,
CRDA.L,CRODA INTL PLC,4354,-45,,,,,
CRH.L,CRH PLC,2542,-33,,,,,
CSCG.L,CAP SHOP CENTRES,#N/A,#N/A,,,,,
DGE.L,DIAGEO,2513.5,-6.5,,,,,
EMG.L,MAN GROUP,213,-2.8,,,,,
ENRC.L,EURASIAN NATURAL,0,#N/A,,,,,
EVR.L,EVRAZ,364.5,-14.6,,,,,
EXPN.L,EXPERIAN,1599.34,-4.66,,,,,
FRES.L,FRESNILLO,1335,-14,,,,,
GFS.L,G4S,282.39,-2.21,,,,,
GKN.L,GKN,415.3,-8.2,,,,,
GLEN.L,GLENCORE INTL,382.75,-17.05,,,,,
GSK.L,GLAXOSMITHKLINE,1310.8,1.2,,,,,
HL.L,HARGREAVES LANS,1848.5,-23.5,,,,,
HMSO.L,HAMMERSON REIT,486.14,0.34,,,,,
HSBA.L,HSBC HLDG,750.2,-0.1,,,,,
IAG.L,INTL. CONS. AIR GRP,629.6,-17.2,,,,,
IAP.L,ICAP,0,#N/A,,,,,
IHG.L,INTERCONT HOTELS,4656,-58,,,,,
IMI.L,IMI PLC,1303,-30,,,,,
IMT.L,IMPERIAL TOBACCO,#N/A,#N/A,,,,,
IPR.L,INTERNATIONAL POWER,417.7,#N/A,,,,,
ITRK.L,INTERTEK GROUP,4972,-21,,,,,
ITV.L,ITV,168.85,-4,,,,,
JMAT.L,JOHNSON MATTHEY PLC,3336,-98,,,,,
KAZ.L,KAZAKHMYS,797.6,-32.2,,,,,
KGF.L,KINGFISHER,349.4,-3.6,,,,,
LAND.L,LAND SEC R.E.I.T.,986.4,-6.7,,,,,
LGEN.L,LEGAL & GENERAL,268.8,-1.6,,,,,
LLOY.L,LLOYDS BANKING GRP,68.92,-0.4,,,,,
MGGT.L,MEGGITT,460.04,1.44,,,,,
MKS.L,MARKS & SPENCER,297,-4.2,,,,,
MRW.L,MORRISON SUPERMKTS,222.5,-0.8,,,,,
NG.L,NATIONAL GRID,791.4,-6.2,,,,,
NXT.L,NEXT,5036.84,-17.16,,,,,
OML.L,OLD MUTUAL,234,-2.8,,,,,
PFC.L,PETROFAC,525.6,-12.8,,,,,
POLY.L,POLYMETAL INTL,797.8,-13.6,,,,,
PRU.L,PRUDENTIAL,1885.5,-14.5,,,,,
PSON.L,PEARSON,696.65,-0.15,,,,,
RB.L,RECKITT BENCK GRP,6732.84,13.84,,,,,
RBS.L,ROYAL BK SCOTL GR,286.33,-0.57,,,,,
RDSB.L,ROYAL DUTCH SHELL-B,2423.5,-9,,,,,
REL.L,REED ELSEVIER PLC,1519.33,-0.67,,,,,
REX.L,REXAM,0,#N/A,,,,,
RIO.L,RIO TINTO,3934.06,5.06,,,,,
RR.L,ROLLS-ROYCE HLDGS,865,-7,,,,,
RRS.L,RANDGOLD RESOURCES,7044,-12,,,,,
RSA.L,RSA INSUR GRP,622,4.6,,,,,
RSL.L,RESOLUTION NPV,#N/A,#N/A,,,,,
SAB.L,SABMILLER,0,#N/A,,,,,
SBRY.L,SAINSBURY,249.1,-5.1,,,,,
SDR.L,SCHRODERS,3701,-11,,,,,
SDRC.L,SCHRODERS NVTG,2650,0,,,,,
SGE.L,SAGE GRP,738.2,-14.8,,,,,
SHP.L,SHIRE,3310,-10,,,,,
SL.L,STANDARD LIFE,#N/A,#N/A,,,,,
SMIN.L,SMITHS GROUP,1567.5,-22,,,,,
SN.L,SMITH & NEPHEW,1253.48,-4.52,,,,,
SRP.L,SERCO GROUP,87,1.35,,,,,
SSE.L,SSE,1261.5,-15,,,,,
STAN.L,STANDARD CHARTERED,813.9,-9.7,,,,,
SVT.L,SEVERN TRENT,1912.19,1.69,,,,,
TATE.L,TATE & LYLE,644.4,-3.6,,,,,
TLW.L,TULLOW OIL,196,-5.1,,,,,
TSCO.L,TESCO PLC,202.2,-4.1,,,,,
ULVR.L,UNILEVER,4039,7,,,,,
UU.L,UNITED UTILITIES GR,733.2,-6.2,,,,,
VED.L,VEDANTA RESOURCES,790.2,-42.4,,,,,
VOD.L,VODAFONE GRP,219.5,5.1,,,,,
WEIR.L,WEIR GROUP,2135,-60,,,,,
WOS.L,WOLSELEY,#N/A,#N/A,,,,,
WPP.L,WPP,1293,-10,,,,,
WTB.L,WHITBREAD,3814,-48,,,,,
XTA.L,XSTRATA,0,#N/A,,,,,
